algId,DIM,funcId,worst recorded,worst reached,best reached,mean reached,median reached,runs,succ,budget
(1+10) EA_logNormal,625,15,1,314,314,314,314,11,11,360946
(1+10) EA_logNormal,625,16,0,625,625,625,625,11,11,637245
(1+10) EA_logNormal,625,17,3,434,604,516.7272727272727,519,11,1,1953125
(1+10) EA_logNormal,625,18,0.906104,1.48418,4.48129,3.6164372727272727,4.07614,11,1,1953125
(1+10) EA_logNormal,625,2,0,625,625,625,625,11,11,234983
(1+10) EA_logNormal,625,22,-211219,264,278,270.54545454545456,270,11,1,1953125
(1+10) EA_logNormal,625,23,-29045,24,25,24.09090909090909,24,11,1,1953125
(1+10) EA_logNormal,625,3,90385,195625,195625,195625,195625,11,11,15191
(1+10) EA_logNormal,625,4,138,312,312,312,312,11,11,7090
(1+10) EA_logNormal,625,5,272,562,562,562,562,11,11,18757
(1+10) EA_logNormal,625,6,95,208,208,208,208,11,11,10575
(1+10) EA_logNormal,625,7,301,375,597,570.2727272727273,589,11,1,1953125
(1+10) EA_logNormal,625,8,151,314,314,314,314,11,11,297138
(1+10) EA_logNormal,625,9,294,625,625,625,625,11,11,1913882
(1+10) EA_normalized,625,1,295,625,625,625,625,11,11,7462
(1+10) EA_normalized,625,10,303,559,574,568.0909090909091,569,11,3,1953125
(1+10) EA_normalized,625,11,0,312,312,312,312,11,11,84375
(1+10) EA_normalized,625,12,0,562,562,562,562,11,11,186996
(1+10) EA_normalized,625,13,0,208,208,208,208,11,11,62020
(1+10) EA_normalized,625,14,0,31,83,53.54545454545455,47,11,1,1953125
(1+10) EA_normalized,625,15,1,314,314,314,314,11,11,296265
(1+10) EA_normalized,625,16,0,625,625,625,625,11,11,577102
(1+10) EA_normalized,625,17,1,474,625,544.6363636363636,529,11,2,1953125
(1+10) EA_normalized,625,18,0.834854,3.74019,4.34723,4.050733636363637,4.04106,11,1,1953125
(1+10) EA_normalized,625,2,0,625,625,625,625,11,11,230183
